ndb	name	kcal	protein	carbs	fats	fiber	sugar	sodium	sat_fat	p1	p1g	p2	p2g
13389	Beef, rib, large end (ribs 6-9), separable lean only, trimmed to 0" fat, choice, cooked, roasted	253	27.53	0	15	0		73	5.99	3 oz	85	1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)	207
13390	Beef, rib, large end (ribs 6-9), separable lean only, trimmed to 0" fat, select, cooked, roasted	220	27.53	0	11.4	0		73	4.55	3 oz	85	1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)	217
13391	Beef, rib, small end (ribs 10-12), separable lean and fat, trimmed to 0" fat, all grades, cooked, broiled	249	27.27	0	14.74	0	0	56	5.72	3 oz	85	1 steak,  (yield from 233 g raw meat)	233
13392	Beef, rib, small end (ribs 10-12), separable lean and fat, trimmed to 0" fat, choice, cooked, broiled	312	24.73	0	22.84	0		64	9.24	3 oz	85	1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)	272
13393	Beef, rib, small end (ribs 10-12), separable lean and fat, trimmed to 0" fat, select, cooked, broiled	285	24.91	0	19.79	0		64	8.01	3 oz	85	1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)	265
13394	Beef, rib, small end (ribs 10-12), separable lean only, trimmed to 0" fat, all grades, cooked, broiled	193	29.41	0	7.53	0	0	61	2.868	3 oz	85	1 steak,  (yield from 296 g raw meat)	233
13395	Beef, rib, small end (ribs 10-12), separable lean only, trimmed to 0" fat, choice, cooked, broiled	225	28.04	0	11.7	0		69	4.73	3 oz	85	1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)	220
10950	Pork, fresh, loin, top loin (chops), boneless, separable lean and fat, with added solution, cooked, broiled	198	28.33	0.02	9.42	0	0	302	3.268	1 chop	107		
10951	Pork, fresh, loin, tenderloin, separable lean and fat, with added solution, raw	114	20.16	0	3.14	0	0	239	1.045	3 oz	85	1 roast	537
10952	Pork, fresh, loin, tenderloin, separable lean and fat, with added solution, cooked, roasted	121	21.5	0.31	3.7	0	0	230	1.27	3 oz	85	1 roast	508
10953	Pork, fresh, shoulder, (Boston butt), blade (steaks), separable lean and fat,with added solution, raw	169	17.19	0.16	11.12	0	0	155	3.912	3 oz	85	1 steak	393
