ndb	name	kcal	protein	carbs	fats	fiber	sugar	sodium	sat_fat	p1	p1g	p2	p2g
09522	Cranberry juice blend, 100% juice, bottled, with added vitamin C and calcium	45	0.27	10.91	0.12	0.1	9.8	6	0.002	6.75 fl oz	200	8 fl oz	240
09523	Lemon juice from concentrate, bottled, CONCORD	24	0.4	5.37	0.07		1.42	29		1 tbsp	15	1 tsp	5.2
09524	Lemon juice from concentrate, bottled, REAL LEMON	17	0.47	5.66	0.07	0.7	1.59	26	0.027	1 tbsp	15	1 tsp	5
09525	Cranberry sauce, whole, canned, OCEAN SPRAY	158	0.75	40.4	0.05	1.2	31.3	5	0.007	.25 cup	70		
09526	Cranberry sauce, jellied, canned, OCEAN SPRAY	160	1.05	40.61	0.04	1	32.2	5	0.007	.25 cup	70		
09528	Ruby Red grapefruit juice blend (grapefruit, grape, apple), OCEAN SPRAY, bottled, with added vitamin C	44	0.5	10.53	0.1	0.2	10.3	8	0.008	8 fl oz	248		
09530	Fruit juice smoothie, ODWALLA, strawberry banana	48	0.5	11.05	0.32	0.6	9.9	2	0.12	1 cup	233		
09531	Fruit juice smoothie, NAKED JUICE, strawberry banana	50	0.48	11.66	0.27	0.6	10.05	2	0.092	1 cup	228		
10000	Pork, fresh, composite of separable fat, with added solution, cooked	585	10.06	0.32	60.42	0	0	125	21.382	3 oz	85		
10001	Pork, fresh, carcass, separable lean and fat, raw	376	13.91	0	35.07	0	0	42	12.44	1 oz	28.35	1 lb	453.6
10002	Pork, fresh, composite of trimmed retail cuts (leg, loin, shoulder), separable lean only, raw	134	21.2	0	4.86	0	0	59	1.625	1 oz	28.35	1 lb	453.6
10003	Pork, fresh, composite of trimmed leg, loin, shoulder, and spareribs, (includes cuts to be cured), separable lean and fat, raw	211	18.22	0	14.79	0	0	57	4.918	1 oz	28.35	1 lb	453.6
10004	Pork, fresh, backfat, raw	812	2.92	0	88.69	0	0	11	32.21	1 oz	28.35	1 lb	453.6
10005	Pork, fresh, belly, raw	518	9.34	0	53.01	0	0	32	19.33	1 oz	28.35	1 lb	453.6
10006	Pork, fresh, separable fat, raw	632	9.25	0	65.7	0	0	47	21.979	1 oz	28.35	4 oz	113
10007	Pork, fresh, separable fat, cooked	626	7.06	0	66.1	0	0	56	23.856	1 oz	28.35	4 oz	113
10008	Pork, fresh, leg (ham), whole, separable lean and fat, raw	245	17.43	0	18.87	0		47	6.54	1 oz	28.35	1 lb	453.6
10009	Pork, fresh, leg (ham), whole, separable lean and fat, cooked, roasted	273	26.83	0	17.61	0	0	60	6.47	1 cup, diced	135	3 oz	85
10010	Pork, fresh, leg (ham), whole, separable lean only, raw	136	20.48	0	5.41	0	0	55	1.87	1 oz	28.35	1 lb	453.6
10011	Pork, fresh, leg (ham), whole, separable lean only, cooked, roasted	211	29.41	0	9.44	0	0	64	3.3	1 cup, diced	135	3 oz	85
06468	Soup, vegetarian vegetable, canned, prepared with equal volume water	28	0.86	4.89	0.79	0.3	1.57	338	0.12	1 cup	241	1 can,  (10.5 oz), prepared	586
06470	CAMPBELL'S Low Sodium Soups, Chicken Broth	10	1.01	0.34	0.34	0	0.34	47	0.168	1 serving, 1 container	298		
06471	Soup, vegetable beef, canned, prepared with equal volume water	31	2.23	4.06	0.76	0.8	0.45	349	0.34	1 cup,  (8 fl oz)	244	1 can,  (10.75 oz), prepared	593
06472	Soup, vegetable with beef broth, canned, prepared with equal volume water	33	1.21	5.35	0.78	0.7	0.82	253	0.18	1 cup,  (8 fl oz)	241	1 can,  (10.5 oz), prepared	586
06475	Soup, beef broth or bouillon, powder, prepared with water	3	0.21	0.25	0.08	0	0.2	382	0.04	1 serving, 1 cup	240	1 fl oz	30
06476	Soup, beef broth, cubed, prepared with water	3	0.21	0.25	0.08	0	0.2	260	0.04	1 serving, 1 cup	240	1 fl oz	30
06480	Soup, chicken broth or bouillon, dry, prepared with water	4	0.28	0.3	0.23	0	0.29	401	0.057	1 cup, 8 fl oz	241	1 fl oz	30.1
06481	Soup, chicken broth cubes, dry, prepared with water	5	0.39	0.62	0.12			326	0.03	1 cup,  (8 fl oz)	243	1 cube,  (6 fl oz prepared)	182
06482	CAMPBELL'S Low Sodium Soups, Chicken with Noodles Soup	52	3.93	5.57	1.48	0.7	1.31	46	0.492	1 serving, 1 container	305		
06483	Soup, cream of chicken, dry, mix, prepared with water	41	0.68	5.11	2.04	0.1	1.59	454	1.3	1 cup, 8 fl oz	261	1 fl oz	32.6
06487	CAMPBELL'S Low Sodium Soups, Cream of Mushroom Soup	54	1.01	6.38	2.68	0	2.01	20	0.839	1 serving, 1 container	298		
06494	Soup, onion, dry, mix, prepared with water	12	0.32	2.77	0.01	0.3	0.2	346	0.004	1 serving, 1 cup	230	1 fl oz	28.7
06497	CAMPBELL'S Red and White - Microwaveable Bowls, Chicken Noodle Soup	30	1.63	4.08	0.82	0.4	0	355	0.204	1 cup	245	1 serving	245
06466	Soup, turkey vegetable, canned, prepared with equal volume water	30	1.28	3.58	1.26	0.2		376	0.37	1 cup,  (8 fl oz)	241	1 fl oz	30.1
08037	Cereals ready-to-eat, granola, homemade	489	13.67	53.88	24.31	8.9	19.8	26	3.957	1 cup	122	1 oz	28.35
08038	Cereals ready-to-eat, POST, GRAPE-NUTS Cereal	361	11.22	80.49	1.81	13	8.86	465	0.34	.5 cup,  (1 NLEA serving)	58		
08039	Cereals ready-to-eat, POST, GRAPE-NUTS Flakes	376	9.4	82	3.7	10.2	15.2	470	0.5	.75 cup,  (1 NLEA serving)	29		
08045	Cereals ready-to-eat, GENERAL MILLS, HONEY NUT CHEERIOS	376	8.85	79.69	5	7.1	32.89	566	0.529	.75 cup,  (1 NLEA serving)	28		
08046	Cereals ready-to-eat, POST, Honeycomb Cereal	394	6.01	86.63	2.93	3.2	31.51	553	1.29	1.5 cup,  (1 NLEA serving)	32		
08047	Cereals ready-to-eat, QUAKER, KING VITAMAN	381	6.41	83.85	3.44	3.4	20.27	825	1.584	1.5 cup,  (1 NLEA serving)	31		
08048	Cereals ready-to-eat, GENERAL MILLS, KIX	357	7.69	82.82	3.46	8.8	9.76	596	0.576	1.25 cup,  (1 NLEA serving)	30		
08049	Cereals ready-to-eat, QUAKER, QUAKER OAT LIFE, plain	374	9.98	77.74	4.43	6.6	19.43	501	0.83	.75 cup,  (1 NLEA serving)	32	.5 cup	21
08050	Cereals ready-to-eat, GENERAL MILLS, LUCKY CHARMS	380	7.67	80.89	5.02	5	36.13	648	0.885	.75 cup,  (1 NLEA serving)	27		
08054	Cereals ready-to-eat, QUAKER, 100% Natural Granola, Oats, Wheat and Honey	421	10.55	73.65	11.62	10.2	20.34	50	1.24	.5 cup,  (1 NLEA serving)	48		
08057	Cereals ready-to-eat, GENERAL MILLS, Honey Nut CHEX	375	6.3	86.67	2	3.9	28.1	600	0.5	.75 cup,  (1 NLEA serving)	32		
08058	Cereals ready-to-eat, KELLOGG, KELLOGG'S PRODUCT 19	374	8.5	84.3	1.3	2.8	12.5	727	0.2	1 cup,  (1 NLEA serving)	30		
08059	Cereals ready-to-eat, QUAKER, SWEET CRUNCH/QUISP	406	4.51	85.03	6.08	2.3	43.36	740	4.442	1 cup,  (1 NLEA serving)	27		
08060	Cereals ready-to-eat, KELLOGG, KELLOGG'S RAISIN BRAN	318	7.72	77.29	2.72	11.4	31.3	356	0.48	1 cup,  ( 1 NLEA serving)	59		
08061	Cereals ready-to-eat, POST Raisin Bran Cereal	324	7.6	78.9	1.6	13.7	32.9	382	0.296	1 cup,  (1 NLEA serving)	59		
08064	Cereals ready-to-eat, GENERAL MILLS, Rice CHEX	375	6.4	85.09	1.89	2	8	809	0.5	1 cup,  (1 NLEA serving)	27		
08699	Cereals ready-to-eat, KELLOGG'S KRAVE Smores	401	7.3	76.4	10.89	9.4	31.7	342	2.4	.75 Cup,  (1 NLEA serving)	31		
08695	Cereals ready-to-eat, KELLOGG, KELLOGG'S FROSTED MINI-WHEATS, little bites	351	9.19	83.4	1.7	10.8	20.2	2	0.3	1 Cup,  (1 NLEA serving)	56		
08696	Cereals ready-to-eat, KELLOGG, KELLOGG'S RAISIN BRAN, Cinnamon Almond	347	7.4	81.19	2.9	9.2	31.29	373	0.4	1.25 cup,  (1 NLEA serving)	58		
08697	Cereals ready-to-eat, KASHI ORGANIC PROMISE, RAISIN VINEYARD	342	8.69	79.9	0.8	5	23.39	279	0.1	.75 Cup,  (1 NLEA serving)	50		
08700	Cereals ready-to-eat, KELLOGG RAISIN BRAN with Omega-3 from flaxseed	349	7.3	82.69	2.5	9.6	31.29	355	0.3	1 Cup,  (1 NLEA serving)	53		
08701	Cereals ready-to-eat, KELLOGG, KELLOGG'S SPECIAL K Multi-grain	364	7.59	86.59	1.29	9.6	20.7	606	0.3	1 Cup,  (1 NLEA serving)	31		
08702	Cereals, KELLOGG'S SPECIAL K NOURISH, Cinnamon Raisin Pecan, dry	370	14.1	61.9	10.39	9.2	23.79	295	1.29	1 Container,  (1 NLEA serving)	52		
08703	Cereals, KELLOGG'S SPECIAL K NOURISH, Cranberry Almond, dry	361	15	63.29	8.39	9.3	22.39	284	1.1	1 Container,  (1 NLEA serving)	52		
08704	Cereals, KELLOGG'S SPECIAL K NOURISH, Maple Brown Sugar Crunch, dry	371	15.39	62.09	9.89	9.3	22	266	1.2	1 Container,  (1 NLEA serving)	52		
08705	Cereals ready-to-eat, KASHI GOLEAN Vanilla Graham Clusters	330	21.5	70.09	2.59	17.3	17.79	166	0.4	1 Cup,  (1 NLEA serving)	51		
08706	Cereals ready-to-eat, KELLOGG SCOOBY-DOO! cereal	376	8.6	84	4.09	9.8	18.5	344	0.6	1 Cup,  (1 NLEA serving)	32		
08707	Cereals ready-to-eat, KELLOGG'S SPECIAL K Chocolate Almond	375	7.59	81.5	5.09	10.3	27.5	545	1.39	.67 Cup,  (1 NLEA serving)	28		
08708	Cereals ready-to-eat, KELLOGG's FROSTED MINI-WHEATS Touch of Fruit in the Middle, raisin	343	9.1	82.1	1.6	10.8	17.2	3	0.4	24 Biscuits,  (1 NLEA serving)	55		
08709	Cereals ready-to-eat, MOM'S BEST, Sweetened WHEAT-FULS	373	8.18	80.91	1.83	10	20.29	14	0	1 cup,  (1 NLEA serving)	55		
08710	Cereals ready-to-eat, KELLOGG'S, SPECIAL K gluten free, touch of brown sugar	369	6.09	86.5	2.5	9.3	19.1	376	0.8	1 Cup,  (1 NLEA serving)	49		
08711	Cereals ready-to-eat, KELLOGG'S, SPECIAL K protein, cinnamon brown sugar crunch	356	22.29	69.8	2.59	9.5	30.29	611	0.8	.75 Cup,  (1 NLEA serving)	31		
08712	Cereals ready-to-eat, KELLOGG, KELLOGG'S RAISIN BRAN with cranberries	344	6.9	84.19	1.5	9.2	30.29	361	0.3	1.25 Cups,  (1 NLEA serving)	59		
09001	Acerola, (west indian cherry), raw	32	0.4	7.69	0.3	1.1		7	0.068	1 cup	98	1 fruit, without refuse	4.8
09002	Acerola juice, raw	23	0.4	4.8	0.3	0.3	4.5	3	0.068	1 cup	242	1 fl oz	30.2
09003	Apples, raw, with skin	52	0.26	13.81	0.17	2.4	10.39	1	0.028	1 cup, quartered or chopped	125	1 cup, slices	109
09004	Apples, raw, without skin	48	0.27	12.76	0.13	1.3	10.1	0	0.021	1 cup, slices	110	1 large,  (3-1/4" dia)	216
09005	Apples, raw, without skin, cooked, boiled	53	0.26	13.64	0.36	2.4	11.01	1	0.058	1 cup, slices	171		
09006	Apples, raw, without skin, cooked, microwave	56	0.28	14.41	0.42	2.8	11.61	1	0.068	1 cup, slices	170		
09007	Apples, canned, sweetened, sliced, drained, unheated	67	0.18	16.7	0.49	1.7	15	3	0.08	1 cup, slices	204		
09008	Apples, canned, sweetened, sliced, drained, heated	67	0.18	16.84	0.43	2	14.84	3	0.07	1 cup, slices	204		
09009	Apples, dehydrated (low moisture), sulfured, uncooked	346	1.32	93.53	0.58	12.4	81.13	124	0.095	1 cup	60		
09010	Apples, dehydrated (low moisture), sulfured, stewed	74	0.28	19.91	0.12	2.6		26	0.02	1 cup	193		
09011	Apples, dried, sulfured, uncooked	243	0.93	65.89	0.32	8.7	57.19	87	0.052	1 cup	86	1 ring	6.4
09012	Apples, dried, sulfured, stewed, without added sugar	57	0.22	15.32	0.07	2	13.32	20	0.012	1 cup	255		
10015	Pork, fresh, leg (ham), rump half, separable lean only, cooked, roasted	165	28.86	0	4.62	0	0	80	1.451	3 oz	85	1 roast	3027
10012	Pork, fresh, leg (ham), rump half, separable lean and fat, raw	182	20.27	0	10.63	0	0	73	3.526	1 oz	28.35	1 lb	453.6
10013	Pork, fresh, leg (ham), rump half, separable lean and fat, cooked, roasted	209	27.03	0	10.32	0	0	77	3.369	1 cup, diced	135	3 oz	85
10014	Pork, fresh, leg (ham), rump half, separable lean only, raw	120	21.81	0	2.93	0	0	76	0.947	3 oz	85	1 lb	453.6
10016	Pork, fresh, leg (ham), shank half, separable lean and fat, raw	193	19.87	0	11.96	0	0	84	3.942	3 oz	85	1 lb	453.6
10017	Pork, fresh, leg (ham), shank half, separable lean and fat, cooked, roasted	232	25.96	0	13.42	0	0	81	4.609	3 oz	85	1 roast	2900
10018	Pork, fresh, leg (ham), shank half, separable lean only, raw	119	21.66	0	2.95	0	0	90	0.917	3 oz	85	1 lb	453.6
10019	Pork, fresh, leg (ham), shank half, separable lean only, cooked, roasted	175	28.69	0	5.83	0	0	84	1.837	3 oz	85	1 roast	2900
10020	Pork, fresh, loin, whole, separable lean and fat, raw	198	19.74	0	12.58	0	0	50	4.36	3 oz	85	1 chop, excluding refuse (yield from 1 raw chop, with refuse, weighing 151 g)	117
10021	Pork, fresh, loin, whole, separable lean and fat, cooked, braised	239	27.23	0	13.62	0	0	48	5.11	3 oz	85	1 chop, excluding refuse (yield from 1 raw chop, with refuse, weighing 151 g)	89
10022	Pork, fresh, loin, whole, separable lean and fat, cooked, broiled	242	27.32	0	13.92	0	0	62	5.23	3 oz	85	1 chop, excluding refuse (yield from 1 raw chop, with refuse, weighing 151 g)	87
10023	Pork, fresh, loin, whole, separable lean and fat, cooked, roasted	248	27.09	0	14.65	0	0	59	5.37	3 oz	85	1 chop, excluding refuse (yield from 1 raw chop, with refuse, weighing 151 g)	89
10024	Pork, fresh, loin, whole, separable lean only, raw	143	21.43	0	5.66	0	0	52	1.95	3 oz	85	1 chop, excluding refuse (yield from 1 raw chop, with refuse, weighing 151 g)	106
10025	Pork, fresh, loin, whole, separable lean only, cooked, braised	204	28.57	0	9.12	0	0	50	3.38	3 oz	85	1 chop, excluding refuse (yield from 1 raw chop, with refuse, weighing 151 g)	80
06498	Soup, tomato, dry, mix, prepared with water	38	0.93	7.17	0.61	0.4	3.9	356	0.286	1 cup, 8 fl oz	265		
06502	CAMPBELL'S Red and White - Microwaveable Bowls, Chicken Rice Soup	30	0.82	5.71	0.41	0.4	0.41	327	0.204	1 cup	245	1 serving	245
06503	CAMPBELL'S Red and White - Microwaveable Bowls, Creamy Tomato Soup	64	1.22	10.2	2.04	1.2	6.53	306	0.408	1 cup	245	1 serving	245
06504	CAMPBELL'S Red and White - Microwaveable Bowls, Tomato Soup	44	1.22	9.8	0	1.2	7.35	322	0	1 cup	245	1 serving	245
06505	CAMPBELL'S Red and White - Microwaveable Bowls, Vegetable Beef Soup	34	2.04	6.12	0.2	1.2	0.82	359	0.204	1 cup	245	1 serving	245
06509	CAMPBELL'S Homestyle Butternut Squash Bisque	45	0.41	7.76	1.22	0.4	4.9	265	0.816	1 serving	245		
06528	Soup, chicken noodle, dry, mix, prepared with water	23	0.84	3.67	0.55	0.1	0.31	229	0.122	1 cup	245		
06529	CAMPBELL'S Homestyle Light New England Clam Chowder	49	2.45	6.12	1.63	0.8	0.41	322	0.408	1 cup	245		
06537	CAMPBELL'S Homestyle HEALTHY REQUEST Mexican Style Chicken Tortilla	53	2.86	7.76	1.02	1.2	1.22	167	0.204	1 cup	245		
06541	CAMPBELL'S Homestyle Italian-Style Wedding Soup	49	2.86	6.12	1.43	0.8	1.22	322	0.612	1 cup	245		
06543	CAMPBELL'S Homestyle Mexican Style Chicken Tortilla Soup	53	2.86	8.16	0.82	1.2	1.63	347	0.408	1 cup	245		
06544	CAMPBELL'S Homestyle Minestrone Soup	41	1.63	7.35	0.41	1.6	2.45	322	0	1 cup	245		
06545	CAMPBELL'S Homestyle New England Clam Chowder	70	2.33	5.68	4.23	0.8	0	363	0.816	1 cup	256	1 can	519
06546	CAMPBELL'S Homestyle Potato Broccoli Cheese Soup	65	1.22	6.94	3.67	1.2	1.22	265	0.816	1 cup	245		
06547	Soup, beef mushroom, canned, prepared with equal volume water	30	2.37	2.6	1.23	0.1		386	0.61	1 cup,  (8 fl oz)	244	1 can,  (10.75 oz), prepared	593
06548	CAMPBELL'S Homestyle Chicken with White & Wild Rice Soup	41	2.45	6.94	0.41	0.4	1.22	322	0	1 cup	245		
06549	Soup, chicken mushroom, canned, prepared with equal volume water	54	1.8	3.8	3.75	0.1		327	0.98	1 cup,  (8 fl oz)	244	1 can,  (10.75 oz), prepared	593
06558	Soup, tomato bisque, canned, prepared with equal volume water	50	0.92	9.6	1.02	0.2		424	0.22	1 cup,  (8 fl oz)	247	1 can,  (11 oz), prepared	600
08065	Cereals ready-to-eat, KELLOGG, KELLOGG'S RICE KRISPIES	381	6.75	85.05	2.05	0.4	9.87	527	0.458	1.25 cup,  (1 NLEA serving)	33	1 cup	29
08066	Cereals ready-to-eat, QUAKER, QUAKER Puffed Rice	383	7.01	87.78	0.9	1.4	0	5	0.325	.75 cup,  (1 NLEA serving)	14		
08067	Cereals ready-to-eat, KELLOGG, KELLOGG'S SPECIAL K	377	17.79	73.4	1.79	1.4	12.69	667	0.4	1 cup,  (1 NLEA serving)	31		
08068	Cereals ready-to-eat, KELLOGG, KELLOGG'S CORN POPS	387	4.8	89.7	1.3	8.4	31.3	357	0.5	1 cup,  (1 NLEA serving)	30		
08069	Cereals ready-to-eat, KELLOGG, KELLOGG'S FROSTED FLAKES	369	3.96	89.2	1.68	2.2	35.43	468	0.451	.75 cup,  ( 1 NLEA serving)	30	1 cup	42
08071	Cereals ready-to-eat, KELLOGG, KELLOGG'S HONEY SMACKS	380	5.7	88.5	2.2	5	56.2	142	0.5	.75 cup,  (1 NLEA serving)	27		
08073	Cereals ready-to-eat, POST, GOLDEN CRISP	380	5.5	90.1	1.7	5	53.6	95	0.2	.75 cup,  (1 NLEA serving)	27		
08074	Cereals ready-to-eat, RALSTON TASTEEOS	357	10.71	75.5	5.36	10.7	3.57	571	0.926	1 cup,  (1 NLEA serving)	28		
08077	Cereals ready-to-eat, GENERAL MILLS, Whole Grain TOTAL	320	8.4	74.7	2.1	9.1	16.4	470	0.6	.75 cup,  (1 NLEA serving)	30		
08078	Cereals ready-to-eat, GENERAL MILLS, TRIX	384	4.9	86.19	3.79	3.9	32	500	0.5	1 cup,  (1 NLEA serving)	32		
08081	Cereals ready-to-eat, POST, Honey Nut Shredded Wheat	373	8.5	83.6	2.9	10.7	20.7	102	0.4	1 cup,  (1 NLEA serving)	59		
08082	Cereals ready-to-eat, GENERAL MILLS, Wheat CHEX	345	9.8	82.2	1.8	12.2	10.3	570	0.4	.75 cup,  (1 NLEA serving)	47		
08083	Cereals ready-to-eat, MALT-O-MEAL, CORN BURSTS	385	3.32	90.59	0.35	1.9	46.88	855	0.093	1 cup,  (1 NLEA serving)	31		
08084	Cereals ready-to-eat, wheat germ, toasted, plain	382	29.1	49.6	10.7	15.1	7.8	4	1.83	1 oz	28.35	1 cup	113
08085	Cereals ready-to-eat, SUN COUNTRY, KRETSCHMER Honey Crunch Wheat Germ	372	26.55	58.11	7.78	10.2	21.43	11	1.36	2 tbsp,  (1 NLEA serving)	14		
08087	Cereals ready-to-eat, GENERAL MILLS, Multi-Grain CHEERIOS	370	8.3	81.4	4.09	8.7	21.2	401	0.89	1 cup,  (1 NLEA serving)	29		
08089	Cereals ready-to-eat, GENERAL MILLS, WHEATIES	353	8.3	83.3	2.3	10.1	15.2	732	0.5	.75 cup,  (1 NLEA serving)	27		
09016	Apple juice, canned or bottled, unsweetened, without added ascorbic acid	46	0.1	11.3	0.13	0.2	9.62	4	0.022	1 cup	248	1 fl oz	31
09017	Apple juice, frozen concentrate, unsweetened, undiluted, without added ascorbic acid	166	0.51	41	0.37	0.4	38.83	25	0.06	1 can,  (6 fl oz)	211		
09018	Apple juice, frozen concentrate, unsweetened, diluted with 3 volume water without added ascorbic acid	47	0.14	11.54	0.1	0.1	10.93	7	0.018	1 cup	239	1 fl oz	29.9
09019	Applesauce, canned, unsweetened, without added ascorbic acid (includes USDA commodity)	42	0.17	11.27	0.1	1.1	9.39	2	0.008	1 cup	244		
09020	Applesauce, canned, sweetened, without salt (includes USDA commodity)	68	0.16	17.49	0.17	1.2	14.67	2	0.03	1 cup	246		
09021	Apricots, raw	48	1.4	11.12	0.39	2	9.24	1	0.027	1 cup,  halves	155	1 cup, sliced	165
09022	Apricots, canned, water pack, with skin, solids and liquids	27	0.71	6.39	0.16	1.6	4.79	3	0.011	1 cup,  halves	243	1 apricot, half with liquid	36
09023	Apricots, canned, water pack, without skin, solids and liquids	22	0.69	5.48	0.03	1.1		11	0.002	1 cup, whole, without pits	227		
09024	Apricots, canned, juice pack, with skin, solids and liquids	48	0.63	12.34	0.04	1.6	10.74	4	0.003	1 cup,  halves	244	1 apricot, half with liquid	36
09025	Apricots, canned, extra light syrup pack, with skin, solids and liquids	49	0.6	12.5	0.1	1.6		2	0.007	1 cup,  halves	247		
09026	Apricots, canned, light syrup pack, with skin, solids and liquids	63	0.53	16.49	0.05	1.6	14.89	4	0.003	1 cup,  halves	253	1 apricot, half with liquid	40
09027	Apricots, canned, heavy syrup pack, with skin, solids and liquids	83	0.53	21.47	0.08	1.6	19.87	4	0.005	1 cup,  halves	258	1 cup, whole	240
09028	Apricots, canned, heavy syrup pack, without skin, solids and liquids	83	0.51	21.45	0.09	1.6		11	0.006	1 cup, whole, without pits	258		
09013	Apples, dried, sulfured, stewed, with added sugar	83	0.2	20.73	0.07	1.9		19	0.011	1 cup	280		
09014	Apples, frozen, unsweetened, unheated	48	0.28	12.31	0.32	1.3	10.1	3	0.053	1 cup, slices	173		
09015	Apples, frozen, unsweetened, heated	47	0.29	12	0.33	1.3		3	0.053	1 cup, slices	206		
09029	Apricots, canned, extra heavy syrup pack, without skin, solids and liquids	96	0.55	24.85	0.04	1.6		13	0.003	1 cup, whole, without pits	246		
09030	Apricots, dehydrated (low-moisture), sulfured, uncooked	320	4.9	82.89	0.62			13	0.043	1 cup	119		
09031	Apricots, dehydrated (low-moisture), sulfured, stewed	126	1.93	32.62	0.24			5	0.017	1 cup	249		
09032	Apricots, dried, sulfured, uncooked	241	3.39	62.64	0.51	7.3	53.44	10	0.017	1 cup,  halves	130	1 half	3.5
09033	Apricots, dried, sulfured, stewed, without added sugar	85	1.2	22.15	0.18	2.6	19.57	4	0.006	1 cup,  halves	250		
09034	Apricots, dried, sulfured, stewed, with added sugar	113	1.17	29.26	0.15	4.1		3	0.01	1 cup,  halves	270		
09035	Apricots, frozen, sweetened	98	0.7	25.1	0.1	2.2		4	0.007	1 cup	242		
09036	Apricot nectar, canned, without added ascorbic acid	56	0.37	14.39	0.09	0.6	13.79	3	0.006	1 cup	251	1 fl oz	31.4
10026	Pork, fresh, loin, whole, separable lean only, cooked, broiled	210	28.57	0	9.8	0	0	64	3.64	3 oz	85	1 chop, excluding refuse (yield from 1 raw chop, with refuse, weighing 151 g)	79
10027	Pork, fresh, loin, whole, separable lean only, cooked, roasted	209	28.62	0	9.63	0	0	58	3.51	3 oz	85	1 chop, excluding refuse (yield from 1 raw chop, with refuse, weighing 151 g)	81
10028	Pork, fresh, loin, blade (chops or roasts), bone-in, separable lean and fat, raw	194	19.56	0	12.27	0	0	69	4.27	3 oz	85	1 chop	263
10029	Pork, fresh, loin, blade (chops), bone-in, separable lean and fat, cooked, braised	255	26.54	0	15.71	0	0	69	4.487	3 oz	85	1 chop	206
10030	Pork, fresh, loin, blade (chops), bone-in, separable lean and fat, cooked, broiled	231	23.72	0	14.35	0	0	74	4.339	3 oz	85	1 chop	219
10031	Pork, fresh, loin, blade (roasts), bone-in, separable lean and fat, cooked, roasted	254	24.29	0	16.71	0	0	76	5.9	3 oz	85	1 roast	830
10032	Pork, fresh, loin, blade (chops or roasts), bone-in, separable lean only, raw	143	21.22	0	5.84	0	0	73	1.974	3 oz	85	1 chop	263
10033	Pork, fresh, loin, blade (chops), bone-in, separable lean only, cooked, braised	222	28.02	0	11.29	0	0	70	2.59	3 oz	85	1 chop	206
10034	Pork, fresh, loin, blade (chops), bone-in, separable lean only, cooked, broiled	193	24.99	0	9.56	0	0	76	2.322	3 oz	85	1 chop	219
10035	Pork, fresh, loin, blade (roasts), bone-in, separable lean only, cooked, roasted	217	25.7	0	11.89	0	0	78	3.934	3 oz	85	1 roast	830
10036	Pork, fresh, loin, center loin (chops), bone-in, separable lean and fat, raw	170	20.71	0	9.03	0	0	55	2.993	3 oz	85	1 chop, without refuse (Yield from 1 raw chop, with refuse, weighing 259g)	199
06559	Soup, tomato, canned, prepared with equal volume water, commercial	32	0.71	7.45	0.21	0.5	4.03	186	0.056	1 serving, 1 cup	248	1 fl oz	31
06580	CAMPBELL'S Homestyle Vegetable Medley Soup	37	1.22	7.35	0.2	1.2	3.27	322	0	1 cup	245		
06583	Soup, ramen noodle, any flavor, dry	440	10.17	60.26	17.59	2.9	1.98	1855	8.117	1 package,  without flavor packet	81	1 packet	5.8
06584	Soup, broccoli cheese, canned, condensed, commercial	87	2.1	7.7	5.3	1.8	2.12	661	1.6	1 serving, 1/2 cup	121	1 can, 10.7 oz (10.75 oz)	303
06585	CAMPBELL'S Soup on the Go, Vegetable with Mini Round Noodles Soup	33	0.66	6.89	0.16	0.3	4.59	213	0	1 container	305		
06586	CAMPBELL'S Soup on the Go, Chicken & Stars Soup	23	0.98	3.28	0.49	0.3	0.33	315	0.164	1 container	305		
06587	CAMPBELL'S Soup on the Go, Chicken with Mini Noodles Soup	26	1.31	3.61	0.66	0.7	0.66	321	0.164	1 container	305		
06588	CAMPBELL'S Soup on the Go, Classic Tomato Soup	46	0.98	10.16	0.16	0.7	6.56	210	0	1 container	305		
06589	CAMPBELL'S Soup on the Go, Creamy Broccoli Soup	52	0.66	4.26	3.61	1	1.31	289	0.984	1 container	305		
06590	CAMPBELL'S Soup on the Go, Creamy Chicken Soup	43	0.98	3.28	2.95	0.7	0.33	289	0.492	1 container	305		
06592	CAMPBELL'S Soup on the Go, Creamy Tomato Soup	59	0.98	9.84	1.64	0.7	7.21	213	0.492	1 container	305		
06594	CAMPBELL'S Soup on the Go, New England Clam Chowder	52	0.66	4.26	3.61	1	0.66	292	0.984	1 container	305		
06595	CAMPBELL'S Soup on the Go, Vegetable Beef Soup	20	0.98	3.28	0.33	0.3	1.64	305	0.164	1 container	305		
06596	CAMPBELL'S Soup on the Go, Cheesy Potato with Bacon Flavor Soup	43	0.66	5.25	1.97	0.3	1.31	292	0.656	1 container	305		
06597	PACE, Chipotle Chunky Salsa	25	0	6.25	0	3.1	6.25	719	0	1 serving	32	2 tbsp	32
06598	PACE, Cilantro Chunky Salsa	25	0	6.25	0	3.1	6.25	844	0	1 serving	32	2 tbsp	32
06599	PACE, Enchilada Sauce	40	1.67	8.33	0	1.7	6.67	867	0	.25 cup	60	1 serving	60
06600	PACE, Green Taco Sauce	25	0	6.25	0		6.25	625	0	1 serving	16	2 tbsp	16
06601	PACE, Lime & Garlic Chunky Salsa	38	0	9.38	0	3.1	6.25	656	0	1 serving	32	2 tbsp	32
06602	PACE, Organic Picante Sauce	25	0	6.25	0	3.1	6.25	688	0	1 serving	32	2 tbsp	32
